concept	concepticon_id	concept-Jap	exemplar-jap	exemplar-eng	jap_lemma	domain	freq_japweb2011	source	word_list	notes
EXHAUSTED-2	1757	syiNdoi	(暑い中で仕事をした後で)ああ、しんどい	(After working in the heat), Aaa, I'm EXHAUSTED.	しんどい	interoception	128369	sanada_2018	none	
THROBBING		zukizuki	（傷口が脈打つように痛む）傷がずきずきする。	(When a wound is pulsating painfully). It is THROBBING.	ずきずき	movement; interoception_pain	6971	sanada_2018	none	
OOZING	NA	zyikuzyiku	（耳の中が腫れて汁が出ているようだ）耳の奥がじくじくする。	(When the inside of your ear is swollen and pus is coming out) The back of my ear is OOZING (pus).	じくじく	movement	2774	sanada_2018	none	
FREEZE	1431	kooru	手ぬぐいが凍る	A hand towel FREEZES.	凍る	change of state	58534	hirayama_1992	S200	for water freezing, more places just use the basic kooru
SMALL		tyiisai	体が小さい	A SMALL body.	小さい	size	1193935	hirayama_1992	ABVD; S200	
POUNDING (HEART)	NA	dokidoki	ああ、こわかった。まだ胸がどきどきしている。	Aa, that was scary. My heart is still POUNDING.	どきどき	sound; movement	259099	sanada_2018	ABVD; S200	
SCARY-2	1419	kowai-dokidokicomp	ああ、こわかった。まだ胸がどきどきしている。	Aa, that was SCARY. My heart is still pounding.	怖い	interoception_emotion	1198511	sanada_2018	ABVD; S200	
SLICK-1		subesube	温泉に入ったから、肌がすべすべだ。	After coming out of the onsen (hot spring), my skin is SLICK.	すべすべ	texture	22023	sanada_2018	none	
HUNGRY	1533	himozyii	あの頃はひもじい思いをしたものだ。	At that time I felt very hungry.	ひもじい	interoception	2889	sanada_2018	none	
OILY/HEAVY (FOOD)	NA	kudoi	脂っぽい（くどい）おかずばかりで、胸につかえる。	Because all the side dishes were so OILY, I have heartburn.	くどい	taste	30669	sanada_2018	none	
CLEAN	704	kirei	掃除をしたので、きれいになった。	Because I cleaned, it's TIDY now.	奇麗	suprasensory	1634839	sanada_2015	none	
TIGHT		kitsui	太ったせいか、この服はきつい。	Because I gained weight, these clothes are tight.	きつい	proprioception	422523	sanada_2018	none	
SLEEPY		nemui	遅くまで起きていたので、今朝はねむい。	Because I was up late, this morning I'm SLEEPY.	眠い	interoception	220963	sanada_2018	none	
EXHAUSTED-1	1757	guQtari	朝からずっと畑仕事していたので、もうぐったりだ。	Because I've been working in the field all day, I'm completely exhausted.	ぐったり	interoception	45669	sanada_2018	none	
CLINGING	NA	netyinetyi	ねちねちと執念深いから、あの人には用心しないといけない。	Because they CLING to their grudges, you need to be careful around that person.	ねちねち	movement	12506	sanada_2015	none	
BIG	1202	ooki	体が大きい（大きな人）	BIG body (big person)	大きい	size	2620629	hirayama_1992	ABVD; S200	
BIND	1904	syibaru	足を縛る	BIND a leg	縛る	action	130077	hirayama_1992	ABVD; S200	
CUNNING	2335	zurui	ぜんぜんずるい人には見えなかったけどねえ。	But they didn't look like a CUNNING person at all.	狡い	evaluation	47097	sanada_2015	none	
CHEW	321	kamu	よく噛んで食べなさい	Eat it and CHEW it well!	噛む	action	269932	hirayama_1992	ABVD	
FLAT	1633	taira	平らな土地	FLAT earth.	平ら	shape	39498	hirayama_1992	none	
STUFFED (FULL OF FOOD)		maNpaku	ごちそうをたくさん食べて満腹になった。満腹でつらい。	I ate a lot and now I'm STUFFED. It's painful.	満腹	interoception	40666	sanada_2018	none	
SLOSHING		taputapu	水を飲みすぎて、おなかがたぷたぷと音がする	I drank too much water and now my stomach is making a SLOSHING sound.	たぷたぷ	sound	2609	sanada_2018	none	
TINGLING-2		hirihiri	日焼けして、背中がひりひりする。	I got sunburned and now my back is TINGLING.	ひりひり	interoception_pain	15326	sanada_2018	none	
CRAMPING (STOMACH)	NA	syikusyiku	心配事が多くて、ストレスで胃がしくしくする。	I have so many things to worry about and I have a CRAMPING in my stomach from the stress.	しくしく		12115	sanada_2018	none	
CLEAR	989	suQkiri	今日はなんだか頭がすっきりしない。	I just can't CLEAR my head today.	すっきり		337061	sanada_2018	none	a few places translated this as boNyari, it's listed in sanada_2018 under the pain ideophones for some reason
STRONG (TASTE)		koi	薄いコーヒーよりも濃いコーヒーが好きだ。	I prefer STRONG coffee to weak coffee.	濃い		346977	sanada_2018	none	
WEAK-1		usui	薄いコーヒーよりも濃いコーヒーが好きだ。	I prefer strong coffee to WEAK coffee.	薄い		546098	sanada_2018	none	
SAD	699	kanasyii	悲しい話を聞いて泣けてきた。	I started crying from hearing the SAD story.	悲しい		440541	sanada_2015		
DRY	1398	kawaku	洗濯物は乾いたかな。	I think the washing is DRY.	乾く		154517	hirayama_1992	ABVD; S200	
BITTER	887	nigai	薬は苦いものだと思っていたけど、このころはそうでもないね。	I thought medicine was BITTER, but this time it wasn't so bad.	苦い		55863	sanada_2018	none	
LUKEWARM	NA	nurui	ぬるい風呂に入って風邪をひいた。	I took a LUKEWARM bath and got a cold.	温い		37799	sanada_2018	none	
COOL	2483	suzusyii	クーラーをつけて、すずしい部屋で眠る。	I turn on the air conditionar and sleep in a COOL room.	涼しい		183278	sanada_2018	none	
SCARY-3	1419	osorosyii	たくさんの犬に追われて、恐ろしい。	I was chased by lots of dogs, it was SCARY.	恐ろしい		273089	sanada_2015	none	
STINGING (PAIN)-1		tyikatyika-TV	テレビを見すぎて目がちかちかする	I watched too much TV and now my eyes are STINGING.	ちかちか		9479	sanada_2018	none	
SLUGGISH		darui	何だか体がだるい	I'm feeling a little SLUGGISH (lit. my body is a little sluggish)	怠い		83407	sanada_2018	none	
ITCHING-1	148	kayui	蚊に刺されたあとが痒い。	I'm ITCHING after being bitten by a mosquito.	痒い		84568	sanada_2018	none	
GLAD	1495	uresyii	元気でまた会えて、本当に嬉しいね	I'm very GLAD I could see you again and that you're doing well.	嬉しい		1943713	sanada_2015	none	
SPICY		karai	このカレー、子供には辛いんじゃない。口がひりひりするよ。	Isn't this curry a little SPICY for children? My mouth is tingling.	辛い		1155105	sanada_2018	none	
TINGLING-1		hirihiri	このカレー、子供には辛いんじゃない。口がひりひりするよ。	Isn't this curry a little spicy for children? My mouth is TINGLING.	ひりひり		15326	sanada_2018	none	
BRIGHT	679	akarui	少し前はくらかったけど、今は五時前にはもうあかるい。	It was a little DARK before, but now it is bright.	明るい		561608	sanada_2018	none	
DARK	706	kurai	少し前はくらかったけど、今は五時前にはもうあかるい。	It was a little DARK before, but now it is bright.	暗い		360682	sanada_2018	none	this is the same root as black which is in the ABVD
HOT	1286	atsui	今日はとんでもなく、暑い。	It's incredibly HOT today.	暑い		554715	sanada_2018	S200	
A LITTLE	2924	sukosyi	少し雨が降っている	It's raining A LITTLE.	少し		3507384	hirayama_1992	none	
WARM-1		atatakai	今日はぽかぽかと温かい日だ。	It's WARM today.	温かい		575428	sanada_2018	ABVD; S200	
WARM-2		pokapoka	今日はぽかぽかと温かい日だ。	It's WARM today.	ぽかぽか		38960	sanada_2018	ABVD; S200	
LONG	1203	nagai	長い紐	LONG string.	長い		2045016	hirayama_1992	ABVD; S200	
WET-1		nureru	服が雨に濡れる。	My clothes got WET in the rain.	濡れる		193621	hirayama_1992	ABVD; S200	could compare with DAMP zyimezyime
SLIMY		nurunuru	里芋の皮をむいたので、手がぬるぬるする。	My hands are SLIMY from peeling taro.	ぬるぬる		27596	sanada_2018	none	
POUNDING (HEAD)	NA	gaNgaN	頭が割れるように痛い。がんがんする。	My head hurts like its been split open. It's POUNDING.	がんがん		117358	sanada_2018	none	
ANNOYED/IMPATIENT-1	3885	iraira	なかなか自分の順番がこなくて、いらいらする。	My turn in the line still wouldn't come, and I was getting ANNOYED/IMPATIENT.	苛々		177375	sanada_2018	none	
STICKY	3703	netyanetya	納豆はねばっこくてねちゃねちゃしている。	Nato is STICKY.	ねちゃねちゃ		384	sanada_2018	none	
ANNOYED/IMPATIENT-2	3885	zyireQtai	書いても書いても思うようにならない。	No matter how many times I wrote it, I couldn't get it right and I was getting ANNOYED/IMPATIENT.	焦れったい		10633	sanada_2015	none	
LIVELY (ENERGETIC)	1861	piNpiN	 あの人は何歳になっても元気でぴんぴんしている。	No matter how old that person gets they are always healthy and LIVELY.	ぴんぴん		7636	sanada_2018	none	
EMPTY	1624	karada	none given	none given	空		752375	hirayama_1992		
CRY	1839	naku	声をあげて泣く	raise your voice and CRY	泣く		888462	hirayama_1992	ABVD	
RAP (AT THE DOOR)	2396	tataku	戸をたたく	RAP at the door.	叩く		573832	hirayama_1992	ABVD; S200	it's the basic verb for ‘to hit'
ROUND	1395	marui	円い穴	ROUND hole	丸い		166797	hirayama_1992	ABVD; S200	
SCRATCH	1436	kaku	つめでかく	SCRATCH with your nails.	掻く		315147	hirayama_1992	ABVD; S200	
SMOKY		kemui	煙が流れてきた。とても煙い。目がしょぼしょぼ。	Smoke flowed in, it was really SMOKY. My eyes were watery.	煙い		2535	sanada_2018	ABVD; S200	It's actually SMOKE in the ABVD but this is the same root
WATERY (EYES)		syobosyobo	煙が流れてきた。とても煙い。目がしょぼしょぼ。	Smoke flowed in, it was really smoky. My eyes were WATERY.	しょぼしょぼ		4957	sanada_2018	none	
(SPINE) TINGLING	52	zokuzoku	何だか背中がぞくぞくする。風邪かなあ。	Something is making my spine TINGLE, maybe I caught a cold.	ぞくぞく		28172	sanada_2018	none	
TICKLING		kusuguQtai	くすぐるのはやめて。くすぐたいよ。	Stop tickling me. It's TICKLING!	擽ったい		18684	sanada_2018	none	
SUCK		suu	息を吸う	SUCK in a breathe.	吸う		271562	hirayama_1992	ABVD; S200	
TEAR		saku	布を裂く	TEAR a cloth.	裂く		81342	hirayama_1992	none	
SLOW-1		noroi	あいつは仕事ののろいやっで。もどかしい。	That guy is always so SLOW at work, it's annoying.	鈍い		73187	sanada_2015	none	
ANNOYED/IMPATIENT-3	3885	modokasyii	あいつは仕事ののろいやっで。もどかしい。	That guy is always so slow at work, it's ANNOYING/makes me IMPATIENT.	もどかしい		34974	sanada_2015	none	
SMILING		nikoniko	あの人はいつもニコニコしている。	That person is always SMILING.	にこにこ		178152	sanada_2015	none	
CRAWL	96	hau	赤ん坊が這う	the child CRAWLS	這う		57717	hirayama_1992	none	
ROUGH-2	1923	zarazara	床が砂でざらざらしている	The floor is ROUGH with sand.	ざらざら		14122	sanada_2018	none	
SLICK-2		tsurutsuru	凍った雪道はつるつるしている。	The frozen roads are SLICK.	つるつる		56056	sanada_2018	none	
CRAMPED	1267	semai	庭が狭い	The garden is CRAMPED.	狭い		380194	hirayama_1992	S200	
SPACIOUS		hiroi	庭が広い	the garden is SPACIOUS	広い		744847	hirayama_1992	none	
ROUGH-1	2151	arai	網の目が粗い	The holes in the mesh are COARSE.	粗い		39088	hirayama_1992	none	
HUMID-2	143	zyimezyime	家の中がじめじめしている。布団もしめっぽい。	The inside of the house is HUMID. The futon is also WET.	じめじめ		13121	sanada_2018	none	
WET-2		syimeQpoi	家の中がじめじめしている。布団もしめっぽい。	The inside of the house is MUGGY. The futon is also WET.	じめじめ		13121	sanada_2018	ABVD; S200	could compare with WET nureru
RINGING	NA	kiiN	音が大きすぎて、耳がきーんとする。	The sound is too loud, my ears are RINGING.	きーん		9895	sanada_2018	none	
STINGING (PAIN)-2		tyikatyika-sun	日差しがまぶしい。目がちかちかする。	The sun is really glary. My eyes are STINGING.	ちかちか		9479	sanada_2018	none	
GLARING (OVERLY BRIGHT)	2228	mabusyii	日差しがまぶしい。目がちかちかする。	The sun's rays are GLARING. My eyes are STINGING.	眩しい		79787	sanada_2018	none	
ITCHING-2	3856	tyikutyiku	セーターが肌にちくちくする。	The sweater is ITCHING my skin.	ちくちく		24404	sanada_2018	none	
NOISY	377	urusai	テレビの音がうるさいよ、もっと小さくして	The television is NOISY, turn it down please.	煩い		243418	sanada_2018	none	
THIN		hosoi	木の幹が細い	The tree trunk is THIN.	細い		330498	hirayama_1992	S200	
FULL (TO THE BRIM)	1429	iQpai	水がいっぱいになった	The water is FULL (TO THE BRIM)	いっぱい		1263956	hirayama_1992		
RUDE	1412	zuuzuusyii	世の中には図々しい人がいるもんだ。	There are some RUDE people in this world.	図々しい		23075	sanada_2015	none	
QUIET-1	1314	syiiN	ここでは何の音もしない。しーんとして静かだね。	There's no sound here at all, it's really QUIET.	しんと		9035	sanada_2018	none	
QUIET-2	1314	syizuka	ここでは何の音もしない。しーんとして静かだね。	There's no sound here at all, it's really QUIET.	静か		405903	sanada_2018	none	
