Concept-Jap,Concept,Location,Form,FormStandardised,CognateCode,CognateDetectionMethod,Notes,Ideophone,CodingNotes,DoubleChecked,Revisit
zokuzoku,(SPINE) TINGLING,01-Hokkaido-coastal,syiyasyiya,syiyasyiya,d,,,yes,,yes,
zokuzoku,(SPINE) TINGLING,01-Hokkaido-coastal,zokuzoku,zokuzoku,g,,,yes,,yes,
zokuzoku,(SPINE) TINGLING,02-Hokkaido-inland,zokuzoku,zokuzoku,g,,,yes,,yes,
zokuzoku,(SPINE) TINGLING,03-Aomori-Tsugaru,zyawazyawa,zyawazyawa,f,,,yes,,yes,
zokuzoku,(SPINE) TINGLING,04-Aomori-Nambu,zyawamegu,zyawamegu,f,,,derived,,yes,
zokuzoku,(SPINE) TINGLING,05-Iwate,zoguzogu,zoguzogu,g,,"synonyms are zauzau, zarazara, and zawazawa",yes,,yes,
zokuzoku,(SPINE) TINGLING,06-Miyagi,sarasara,sarasara,c,,,yes,,yes,
zokuzoku,(SPINE) TINGLING,07-Akita,zawazawa,zawazawa,f,,,yes,,yes,
zokuzoku,(SPINE) TINGLING,08-Yamagata,zokuzoku,zokuzoku,g,,sawasawa is lighter shivers,yes,,yes,
zokuzoku,(SPINE) TINGLING,09-Fukushima,zoguzogu,zoguzogu,g,,,yes,,yes,
zokuzoku,(SPINE) TINGLING,10-Ibaraki,zokuzoku,zokuzoku,g,,,yes,,yes,
zokuzoku,(SPINE) TINGLING,11-Tochigi,zokuzoku,zokuzoku,g,,,yes,,yes,
zokuzoku,(SPINE) TINGLING,12-Gunma,zokuzoku,zokuzoku,g,,,yes,,yes,
zokuzoku,(SPINE) TINGLING,13-Saitama,uzauza,uzauza,e,,,yes,,yes,
zokuzoku,(SPINE) TINGLING,14-Chiba,zokuzoku,zokuzoku,g,,,yes,,yes,
zokuzoku,(SPINE) TINGLING,15-Tokyo,zokuzoku,zokuzoku,g,,,yes,,yes,
zokuzoku,(SPINE) TINGLING,16-Kanagawa,zokuzoku,zokuzoku,g,,,yes,,yes,
zokuzoku,(SPINE) TINGLING,17-Niigata,zawazawa,zawazawa,f,,,yes,,yes,
zokuzoku,(SPINE) TINGLING,18-Toyama,zoNzo,zoNzo,i,,,yes,,yes,
zokuzoku,(SPINE) TINGLING,19-Ishikawa,suusuu,suusuu,NA,,"they have suusuu but this means a cold feeling on your back, not (SPINE) TINGLING",yes,,yes,
zokuzoku,(SPINE) TINGLING,20-Fukui,suusuu,suusuu,NA,,"they have suusuu but this means a cold feeling on your back, not (SPINE) TINGLING",yes,,yes,
zokuzoku,(SPINE) TINGLING,21-Yamanashi,zokuzoku,zokuzoku,g,,,yes,,yes,
zokuzoku,(SPINE) TINGLING,22-Nagano,zokuzoku,zokuzoku,g,,,yes,,yes,
zokuzoku,(SPINE) TINGLING,23-Gifu,zomizomi,zomizomi,h,,,yes,,yes,
zokuzoku,(SPINE) TINGLING,24-Shizuoka,zokuzoku,zokuzoku,g,,,yes,,yes,
zokuzoku,(SPINE) TINGLING,25-Aichi,zomizomi,zomizomi,h,,,yes,,yes,
zokuzoku,(SPINE) TINGLING,26-Mie,zokuzoku,zokuzoku,g,,,yes,,yes,
zokuzoku,(SPINE) TINGLING,27-Shiga,zokuzoku/zogaQ,zokuzoku/zogaQ,g,,,yes,,yes,
zokuzoku,(SPINE) TINGLING,28-Kyoto,zokuzoku,zokuzoku,g,,,yes,,yes,
zokuzoku,(SPINE) TINGLING,29-Osaka,zokuzoku,zokuzoku,g,,,yes,,yes,
zokuzoku,(SPINE) TINGLING,30-Hyoogo,doodo,doodo,a,,,yes,,yes,
zokuzoku,(SPINE) TINGLING,31-Nara,zokuzoku,zokuzoku,g,,,yes,,yes,
zokuzoku,(SPINE) TINGLING,32-Wakayama,zokuzoku,zokuzoku,g,,,yes,,yes,
zokuzoku,(SPINE) TINGLING,33-Tottori,zowazowa,zowazowa,f,,,yes,,yes,
